Time,Operator,Production Order,Material #,Quantity,Serial #,Leak Rate
2021-06-30 14:42:39.451164,Colin Moore,6030159,5198832,20,,8.138885019506286e-11
2021-06-30 14:42:39.539944,Colin Moore,6030159,5198832,20,,8.134873484023677e-11
2021-06-30 14:42:39.629011,Colin Moore,6030159,5198832,20,,8.153774208289378e-11
2021-06-30 14:42:39.718922,Colin Moore,6030159,5198832,20,,8.110391558452907e-11
2021-06-30 14:42:39.808093,Colin Moore,6030159,5198832,20,,8.16867923724743e-11
2021-06-30 14:42:39.897611,Colin Moore,6030159,5198832,20,,8.113449460813779e-11
2021-06-30 14:42:39.988863,Colin Moore,6030159,5198832,20,,8.141511373902428e-11
2021-06-30 14:42:40.077467,Colin Moore,6030159,5198832,20,,8.136550895499896e-11
2021-06-30 14:42:40.166073,Colin Moore,6030159,5198832,20,,8.113012576759013e-11
2021-06-30 14:42:40.254604,Colin Moore,6030159,5198832,20,,8.156987677478287e-11
2021-06-30 14:42:40.343410,Colin Moore,6030159,5198832,20,,8.16634014461527e-11
2021-06-30 14:42:40.432724,Colin Moore,6030159,5198832,20,,8.179063675037342e-11
2021-06-30 14:42:40.522733,Colin Moore,6030159,5198832,20,,8.192897166837573e-11
2021-06-30 14:42:40.612596,Colin Moore,6030159,5198832,20,,8.192970396256074e-11
2021-06-30 14:42:40.702034,Colin Moore,6030159,5198832,20,,8.175260029853356e-11
2021-06-30 14:42:40.791540,Colin Moore,6030159,5198832,20,,8.183307421026845e-11
2021-06-30 14:42:40.880998,Colin Moore,6030159,5198832,20,,8.138082620518173e-11
2021-06-30 14:42:40.970534,Colin Moore,6030159,5198832,20,,8.146254649989401e-11
2021-06-30 14:42:41.060032,Colin Moore,6030159,5198832,20,,8.194361827941285e-11
2021-06-30 14:42:41.150363,Colin Moore,6030159,5198832,20,,8.20674433194411e-11
2021-06-30 14:42:41.240238,Colin Moore,6030159,5198832,20,,8.199709140833303e-11
2021-06-30 14:42:41.329659,Colin Moore,6030159,5198832,20,,8.202420202332152e-11
2021-06-30 14:42:41.419153,Colin Moore,6030159,5198832,20,,8.185502966580651e-11
2021-06-30 14:42:41.508802,Colin Moore,6030159,5198832,20,,8.250573905291132e-11
2021-06-30 14:42:41.598280,Colin Moore,6030159,5198832,20,,8.203959146331589e-11
2021-06-30 14:42:41.687808,Colin Moore,6030159,5198832,20,,8.217963975122338e-11
2021-06-30 14:42:41.777358,Colin Moore,6030159,5198832,20,,8.228898937330016e-11
2021-06-30 14:42:41.867767,Colin Moore,6030159,5198832,20,,8.188357690301132e-11
2021-06-30 14:42:41.957510,Colin Moore,6030159,5198832,20,,8.231762518624446e-11
2021-06-30 14:42:42.047104,Colin Moore,6030159,5198832,20,,8.222659825955864e-11
2021-06-30 14:42:42.136707,Colin Moore,6030159,5198832,20,,8.203959146331589e-11
2021-06-30 14:42:42.226173,Colin Moore,6030159,5198832,20,,8.240136344736699e-11
2021-06-30 14:42:42.315660,Colin Moore,6030159,5198832,20,,8.223320306235386e-11
2021-06-30 14:42:42.405286,Colin Moore,6030159,5198832,20,,8.23727105144323e-11
2021-06-30 14:42:42.494758,Colin Moore,6030159,5198832,20,,8.254250954610777e-11
2021-06-30 14:42:42.584197,Colin Moore,6030159,5198832,20,,8.229853399392423e-11
2021-06-30 14:42:42.674514,Colin Moore,6030159,5198832,20,,8.272208814905684e-11
2021-06-30 14:42:42.764263,Colin Moore,6030159,5198832,20,,8.261755129166146e-11
2021-06-30 14:42:42.853737,Colin Moore,6030159,5198832,20,,8.28849381609378e-11
2021-06-30 14:42:42.943216,Colin Moore,6030159,5198832,20,,8.317499959407527e-11
2021-06-30 14:42:43.032683,Colin Moore,6030159,5198832,20,,8.305462132535609e-11
2021-06-30 14:42:43.122200,Colin Moore,6030159,5198832,20,,8.319716637739719e-11
2021-06-30 14:42:43.211640,Colin Moore,6030159,5198832,20,,8.309744345818682e-11
2021-06-30 14:42:43.301252,Colin Moore,6030159,5198832,20,,8.283186216127039e-11
2021-06-30 14:42:43.390728,Colin Moore,6030159,5198832,20,,8.296754081395279e-11
2021-06-30 14:42:43.481232,Colin Moore,6030159,5198832,20,,8.287461625278612e-11
2021-06-30 14:42:43.571024,Colin Moore,6030159,5198832,20,,8.301845420270962e-11
2021-06-30 14:42:43.664184,Colin Moore,6030159,5198832,20,,8.265729555364484e-11
2021-06-30 14:42:43.755319,Colin Moore,6030159,5198832,20,,8.281785934721303e-11
2021-06-30 14:42:43.844820,Colin Moore,6030159,5198832,20,,8.276554542528144e-11
